autobuses, mantenimiento, uso, Millas, autobús, Fabricante, Pasajeros,
135 329 7 853 Diésel Bluebird 55
120 503 10 883 Diésel Keiser 42
200 505 10 822 Diésel Bluebird 55
40 466 10 865 Gasolina Bluebird 55
427 359 7 751 Gasolina Keiser 55
759 546 8 870 Diésel Keiser 55
10 427 5 780 Gasolina Keiser 14
880 474 9 857 Gasolina Keiser 55
481 382 3 818 Gasolina Keiser 6
387 422 8 869 Gasolina Bluebird 55
326 433 9 848 Diésel Bluebird 55
861 474 10 845 Gasolina Bluebird 55
122 558 10 885 Gasolina Bluebird 55
156 561 12 838 Diésel Thompson 55
887 357 8 760 Diésel Bluebird 6
686 329 3 741 Diésel Bluebird 55
490 497 10 859 Gasolina Bluebird 55
370 459 8 826 Gasolina Keiser 55
464 355 3 806 Gasolina Bluebird 55
875 489 9 858 Diésel Bluebird 55
883 436 2 785 Gasolina Bluebird 55
57 455 7 828 Diésel Bluebird 55
482 514 11 980 Gasolina Bluebird 55
704 503 8 857 Diésel Bluebird 55
989 380 9 803 Diésel Keiser 55
731 432 6 819 Diésel Bluebird 42
75 478 6 821 Diésel Bluebird 55
162 406 3 798 Gasolina Keiser 55
732 471 9 815 Diésel Keiser 42
751 444 2 757 Diésel Keiser 14
600 493 10 1008 Diésel Bluebird 55
948 452 9 831 Diésel Keiser 42
358 461 6 849 Diésel Bluebird 55
833 496 8 839 Diésel Thompson 55
692 469 8 812 Diésel Bluebird 55
61 442 9 809 Diésel Keiser 55
9 414 4 864 Gasolina Keiser 55
314 459 11 859 Diésel Thompson 6
396 457 2 815 Diésel Thompson 55
365 462 6 799 Diésel Keiser 55
398 570 9 844 Diésel Thompson 14
43 439 9 832 Gasolina Bluebird 55
500 369 5 842 Gasolina Bluebird 55
279 390 2 792 Diésel Bluebird 55
693 469 9 775 Gasolina Keiser 55
884 381 9 882 Diésel Bluebird 55
977 501 7 874 Diésel Bluebird 55
38 432 6 837 Gasolina Keiser 14
725 392 5 774 Diésel Bluebird 55
982 441 1 823 Diésel Bluebird 55
724 448 8 790 Diésel Keiser 42
603 468 4 800 Diésel Keiser 14
168 467 7 827 Gasolina Thompson 55
45 478 6 830 Diésel Keiser 55
754 515 14 895 Diésel Keiser 14
39 411 6 804 Gasolina Bluebird 55
671 504 8 866 Gasolina Thompson 55
418 504 9 842 Diésel Bluebird 55
984 392 8 851 Diésel Bluebird 55
953 423 10 835 Diésel Bluebird 55
507 410 7 866 Diésel Bluebird 55
540 529 4 846 Gasolina Bluebird 55
695 477 2 802 Diésel Bluebird 55
193 540 11 847 Diésel Thompson 55
321 450 6 856 Diésel Bluebird 6
918 390 5 799 Diésel Bluebird 55
101 424 4 827 Désel Bluebird 55
714 433 7 817 Diésel Bluebird 42
678 428 7 842 Diésel Keiser 55
768 494 7 815 Diésel Bluebird 42
29 396 6 784 Gasolina Bluebird 55
554 458 4 817 Diésel Bluebird 14
767 493 6 816 Diésel Keiser 55
699 475 9 816 Gasolina Bluebird 55
954 476 10 827 Diésel Bluebird 42
705 403 4 806 Diésel Keiser 42
660 337 6 819 Gasolina Bluebird 55
520 492 10 836 Diésel Bluebird 55
814 426 4 757 Diésel Bluebird 55
353 449 4 817 Gasolina Keiser 55
